ServiceID,CarID,Date_of_Service,ServiceType,Cost_of_Service
S142305,C47404,2020-09-02,Tire Replacement,115.0
S142306,C47404,2023-01-20,Brake Replacement,287.0
S70297,C23362,2022-04-22,Battery Replacement,404.0
S70298,C23362,2023-02-21,Brake Replacement,180.0
S70296,C23362,2023-03-30,Battery Replacement,265.0
S45207,C14973,2024-06-05,Transmission Check,426.0
S49547,C16452,2025-08-14,Oil Change,352.0
S49546,C16452,2021-05-08,Transmission Check,489.0
S43930,C14546,2023-05-21,Clutch Replacement,209.0
S58196,C19314,2025-08-02,Brake Replacement,312.0
S58193,C19314,2021-11-02,Battery Replacement,348.0
S71219,C23671,2024-07-06,Brake Replacement,361.0
S111195,C37050,2025-08-12,Brake Replacement,437.0
S111194,C37050,2021-09-10,Suspension Check,346.0
S79255,C26320,2022-07-02,Coolant Flush,284.0
S79254,C26320,2025-08-03,Coolant Flush,283.0
S79253,C26320,2024-10-19,Spark Plug Replacement,56.0
S19078,C06323,2024-10-12,Suspension Check,168.0
S01377,C00466,2024-10-17,Suspension Check,153.0
S09861,C03254,2022-12-03,Suspension Check,348.0
S09863,C03254,2025-04-18,Air Filter Replacement,252.0
S33134,C10987,2023-07-17,Coolant Flush,65.0
S33136,C10987,2020-09-27,Oil Change,193.0
S33135,C10987,2021-01-12,Tire Replacement,428.0
S44652,C14785,2023-05-11,Oil Change,132.0
S44651,C14785,2020-11-03,Suspension Check,165.0
S44653,C14785,2023-11-18,Spark Plug Replacement,486.0
S01703,C00565,2021-03-30,Coolant Flush,161.0
S129547,C43127,2025-07-18,Transmission Check,423.0
S38388,C12725,2024-01-29,Air Filter Replacement,106.0
S38387,C12725,2023-07-02,Clutch Replacement,274.0
S38391,C12725,2025-08-03,Transmission Check,169.0
S101591,C33808,2025-01-22,Air Filter Replacement,307.0
S22040,C07299,2024-04-02,Spark Plug Replacement,267.0
S22042,C07299,2022-06-19,Clutch Replacement,471.0
S76495,C25389,2021-02-02,Wheel Alignment,165.0
S59254,C19686,2023-12-24,Clutch Replacement,356.0
S59256,C19686,2022-03-03,Major Service,325.0
S103622,C34489,2021-01-03,Wheel Alignment,499.0
S103621,C34489,2021-02-21,Tire Replacement,260.0
S113557,C37828,2025-08-06,Oil Change,147.0
S37423,C12401,2021-05-30,Coolant Flush,167.0
S90040,C29940,2024-02-26,Wheel Alignment,247.0
S90043,C29940,2023-07-16,Transmission Check,225.0
S90044,C29940,2021-06-18,Transmission Check,354.0
S65491,C21776,2024-11-24,Tire Replacement,319.0
S65490,C21776,2022-12-29,Air Filter Replacement,265.0
S22735,C07526,2025-02-02,Major Service,139.0
S121004,C40304,2021-06-11,Tire Replacement,482.0
S119069,C39666,2024-09-01,Major Service,490.0
S119066,C39666,2025-02-01,Oil Change,226.0
S94727,C31513,2021-08-29,Suspension Check,166.0
S94731,C31513,2023-08-12,Major Service,312.0
S80486,C26723,2024-08-08,Tire Replacement,416.0
S80485,C26723,2022-07-21,Clutch Replacement,156.0
S96642,C32150,2023-07-28,Battery Replacement,200.0
S96643,C32150,2020-12-13,Major Service,93.0
S146535,C48832,2025-03-23,Major Service,471.0
S146538,C48832,2022-03-26,Transmission Check,270.0
S146536,C48832,2020-11-18,Tire Replacement,418.0
S63967,C21258,2022-11-14,Tire Replacement,59.0
S98391,C32749,2024-09-05,Wheel Alignment,239.0
S98394,C32749,2022-08-14,Transmission Check,149.0
S98392,C32749,2022-03-19,Clutch Replacement,454.0
S103772,C34536,2022-01-07,Clutch Replacement,152.0
S95963,C31921,2021-11-13,Brake Replacement,248.0
S95962,C31921,2022-02-10,Major Service,102.0
S103774,C34537,2025-02-18,Tire Replacement,282.0
S27433,C09074,2025-02-09,Battery Replacement,426.0
S07082,C02339,2024-07-19,Coolant Flush,413.0
S51238,C17027,2024-07-20,Suspension Check,369.0
S60845,C20215,2021-05-24,Transmission Check,390.0
S60842,C20215,2021-09-09,Coolant Flush,480.0
S147416,C49127,2022-02-02,Suspension Check,64.0
S147419,C49127,2025-01-24,Tire Replacement,240.0
S128022,C42628,2021-07-03,Spark Plug Replacement,298.0
S130253,C43377,2022-05-08,Spark Plug Replacement,279.0
S130255,C43377,2020-12-01,Spark Plug Replacement,348.0
S130257,C43377,2021-12-29,Spark Plug Replacement,294.0
S49083,C16282,2022-07-02,Tire Replacement,182.0
S26400,C08727,2023-01-10,Transmission Check,142.0
S72835,C24193,2025-02-12,Battery Replacement,294.0
S04746,C01567,2024-09-23,Major Service,326.0
S04747,C01567,2024-07-03,Oil Change,401.0
S04745,C01567,2024-12-22,Coolant Flush,92.0
S132053,C43977,2020-11-09,Suspension Check,343.0
S132052,C43977,2022-12-22,Oil Change,50.0
S132055,C43977,2024-09-15,Oil Change,181.0
S111123,C37023,2023-05-27,Coolant Flush,61.0
S111124,C37023,2022-06-27,Wheel Alignment,424.0
S111125,C37023,2020-12-31,Battery Replacement,465.0
S104903,C34921,2025-02-10,Clutch Replacement,464.0
S40324,C13366,2025-03-11,Brake Replacement,262.0
S112258,C37399,2021-01-03,Major Service,442.0
S112259,C37399,2023-09-28,Suspension Check,415.0
S108639,C36169,2024-04-20,Major Service,340.0
S37493,C12426,2024-08-26,Air Filter Replacement,149.0
S37491,C12426,2024-07-28,Spark Plug Replacement,435.0
S37492,C12426,2024-10-11,Clutch Replacement,313.0
S01925,C00645,2021-04-21,Tire Replacement,375.0
S84468,C28077,2024-09-10,Battery Replacement,291.0
S137035,C45639,2025-07-20,Wheel Alignment,324.0
S137036,C45639,2023-06-01,Brake Replacement,416.0
S98348,C32733,2022-08-07,Battery Replacement,115.0
S98350,C32733,2023-03-29,Tire Replacement,235.0
S98349,C32733,2020-12-02,Air Filter Replacement,283.0
S24728,C08179,2020-09-01,Major Service,282.0
S24727,C08179,2021-07-17,Coolant Flush,465.0
S143231,C47722,2022-11-21,Air Filter Replacement,378.0
S137179,C45683,2022-12-07,Battery Replacement,500.0
S137175,C45683,2022-08-22,Brake Replacement,343.0
S143864,C47934,2025-02-07,Major Service,136.0
S143865,C47934,2021-04-27,Major Service,390.0
S106885,C35573,2022-03-10,Tire Replacement,136.0
S86672,C28810,2021-03-31,Air Filter Replacement,367.0
S86669,C28810,2024-10-16,Brake Replacement,496.0
S13409,C04450,2022-11-28,Battery Replacement,445.0
S54871,C18204,2023-05-30,Oil Change,284.0
S56425,C18727,2022-08-17,Oil Change,214.0
S56426,C18727,2020-09-08,Wheel Alignment,187.0
S84636,C28132,2024-09-26,Tire Replacement,64.0
S38955,C12916,2024-02-06,Spark Plug Replacement,130.0
S38956,C12916,2024-01-13,Wheel Alignment,428.0
S38957,C12916,2024-07-01,Air Filter Replacement,188.0
S139006,C46304,2025-07-25,Clutch Replacement,241.0
S07805,C02575,2021-02-08,Wheel Alignment,339.0
S07806,C02575,2025-07-14,Coolant Flush,261.0
S07807,C02575,2022-10-28,Oil Change,112.0
S115179,C38351,2025-03-17,Air Filter Replacement,249.0
S115180,C38351,2022-05-20,Battery Replacement,162.0
S102165,C34003,2024-07-07,Air Filter Replacement,79.0
S31997,C10601,2024-12-29,Wheel Alignment,54.0
S20938,C06937,2022-11-21,Clutch Replacement,252.0
S20941,C06937,2021-09-22,Transmission Check,104.0
S102460,C34097,2021-02-12,Clutch Replacement,370.0
S102464,C34097,2025-07-02,Oil Change,327.0
S102462,C34097,2021-04-22,Suspension Check,294.0
S116591,C38823,2022-10-31,Brake Replacement,261.0
S116590,C38823,2025-04-29,Clutch Replacement,362.0
S92846,C30889,2022-10-04,Spark Plug Replacement,118.0
S92844,C30889,2021-01-13,Clutch Replacement,139.0
S96593,C32132,2024-04-08,Oil Change,450.0
S96594,C32132,2025-04-01,Tire Replacement,381.0
S95947,C31915,2022-05-02,Suspension Check,367.0
S61827,C20538,2023-03-19,Tire Replacement,242.0
S61826,C20538,2023-11-04,Major Service,166.0
S85449,C28407,2021-08-14,Battery Replacement,126.0
S86308,C28692,2024-09-07,Oil Change,421.0
S86306,C28692,2025-01-26,Brake Replacement,52.0
S145036,C48330,2021-07-30,Tire Replacement,96.0
S125597,C41821,2024-08-02,Tire Replacement,240.0
S14647,C04860,2021-03-26,Transmission Check,444.0
S42505,C14075,2020-12-13,Suspension Check,384.0
S117158,C39012,2024-12-16,Coolant Flush,377.0
S117156,C39012,2020-11-28,Tire Replacement,337.0
S117157,C39012,2024-01-23,Oil Change,354.0
S46601,C15445,2022-10-27,Transmission Check,299.0
S46602,C15445,2022-11-19,Tire Replacement,196.0
S46600,C15445,2020-11-01,Transmission Check,371.0
S128074,C42645,2022-10-27,Coolant Flush,486.0
S128627,C42825,2022-07-27,Oil Change,218.0
S105909,C35249,2022-01-06,Spark Plug Replacement,214.0
S142719,C47553,2022-06-22,Air Filter Replacement,158.0
S107394,C35752,2025-08-13,Brake Replacement,317.0
S107393,C35752,2022-09-08,Suspension Check,495.0
S93605,C31135,2020-11-15,Wheel Alignment,439.0
S93607,C31135,2023-09-11,Coolant Flush,316.0
S93604,C31135,2025-02-13,Wheel Alignment,401.0
S57962,C19233,2020-11-08,Air Filter Replacement,264.0
S57963,C19233,2024-04-01,Tire Replacement,456.0
S43726,C14476,2020-11-09,Brake Replacement,62.0
S95605,C31802,2022-10-18,Air Filter Replacement,239.0
S74313,C24676,2021-06-11,Suspension Check,398.0
S15791,C05237,2022-11-12,Brake Replacement,374.0
S84841,C28202,2024-07-18,Battery Replacement,210.0
S11351,C03768,2023-02-07,Brake Replacement,196.0
S67213,C22330,2023-12-17,Battery Replacement,119.0
S67214,C22330,2022-12-07,Tire Replacement,442.0
S67215,C22330,2021-12-07,Transmission Check,462.0
S89726,C29833,2025-07-19,Tire Replacement,136.0
S22734,C07525,2023-04-20,Suspension Check,147.0
S22733,C07525,2025-05-04,Air Filter Replacement,207.0
S22732,C07525,2021-05-11,Spark Plug Replacement,466.0
S20543,C06808,2023-02-14,Suspension Check,495.0
S33463,C11099,2021-11-17,Tire Replacement,416.0
S33462,C11099,2024-02-25,Coolant Flush,431.0
S33464,C11099,2024-02-29,Suspension Check,464.0
S14263,C04730,2023-09-16,Wheel Alignment,267.0
S14262,C04730,2022-08-06,Transmission Check,97.0
S20425,C06770,2020-09-29,Major Service,59.0
S20426,C06770,2023-02-07,Suspension Check,311.0
S20424,C06770,2023-05-07,Wheel Alignment,96.0
S69983,C23258,2022-05-12,Transmission Check,57.0
S35924,C11911,2021-10-23,Spark Plug Replacement,72.0
S75711,C25134,2024-03-09,Spark Plug Replacement,364.0
S58367,C19367,2022-08-13,Wheel Alignment,167.0
S58365,C19367,2022-01-20,Coolant Flush,350.0
S48261,C16003,2022-12-14,Major Service,110.0
S04990,C01645,2021-03-09,Battery Replacement,430.0
S04986,C01645,2021-07-08,Air Filter Replacement,386.0
S137471,C45781,2021-07-27,Major Service,95.0
S83170,C27637,2021-04-17,Wheel Alignment,168.0
S122069,C40658,2022-10-05,Brake Replacement,426.0
S122068,C40658,2024-09-01,Suspension Check,476.0
S09919,C03280,2021-03-11,Tire Replacement,108.0
S131983,C43954,2022-06-30,Brake Replacement,240.0
S118689,C39538,2024-05-06,Coolant Flush,183.0
S24927,C08249,2025-08-02,Clutch Replacement,345.0
S24926,C08249,2025-07-19,Spark Plug Replacement,62.0
S48747,C16167,2025-07-07,Air Filter Replacement,291.0
S48746,C16167,2021-08-30,Coolant Flush,313.0
S112320,C37418,2022-05-11,Major Service,420.0
S112321,C37418,2022-02-03,Suspension Check,195.0
S115752,C38543,2025-08-26,Clutch Replacement,367.0
S115755,C38543,2022-10-29,Tire Replacement,157.0
S115753,C38543,2020-10-18,Suspension Check,470.0
S116236,C38706,2022-02-21,Transmission Check,170.0
S116238,C38706,2024-09-13,Air Filter Replacement,342.0
S116237,C38706,2024-03-10,Tire Replacement,180.0
S121780,C40565,2021-10-31,Brake Replacement,423.0
S121778,C40565,2023-07-14,Battery Replacement,192.0
S78546,C26085,2023-07-28,Suspension Check,280.0
S78547,C26085,2022-10-15,Wheel Alignment,226.0
S51173,C17005,2025-01-02,Tire Replacement,361.0
S51172,C17005,2021-08-22,Battery Replacement,191.0
S127446,C42437,2021-02-20,Coolant Flush,71.0
S20214,C06706,2024-11-21,Clutch Replacement,104.0
S20213,C06706,2022-10-15,Oil Change,114.0
S66433,C22086,2023-10-21,Battery Replacement,358.0
S66434,C22086,2023-08-28,Clutch Replacement,348.0
S146249,C48744,2021-04-03,Oil Change,253.0
S126783,C42214,2023-11-30,Air Filter Replacement,266.0
S126782,C42214,2023-08-15,Major Service,381.0
S74681,C24802,2024-06-28,Major Service,150.0
S74680,C24802,2023-12-21,Air Filter Replacement,359.0
S74679,C24802,2024-01-24,Tire Replacement,195.0
S60657,C20156,2021-01-19,Clutch Replacement,225.0
S60658,C20156,2021-01-04,Spark Plug Replacement,237.0
S60656,C20156,2024-05-07,Wheel Alignment,153.0
S15496,C05147,2021-05-02,Oil Change,382.0
S15498,C05147,2023-10-02,Major Service,434.0
S98340,C32730,2025-04-24,Transmission Check,220.0
S147791,C49253,2023-07-30,Air Filter Replacement,382.0
S148472,C49477,2025-01-07,Coolant Flush,320.0
S148471,C49477,2020-12-03,Oil Change,395.0
S129528,C43121,2022-04-13,Tire Replacement,447.0
S129529,C43121,2020-09-18,Tire Replacement,332.0
S55973,C18577,2024-07-24,Tire Replacement,345.0
S55975,C18577,2021-04-12,Coolant Flush,455.0
S55974,C18577,2024-09-29,Tire Replacement,234.0
S124900,C41585,2020-10-18,Spark Plug Replacement,392.0
S105460,C35109,2022-09-29,Spark Plug Replacement,230.0
S110226,C36718,2024-05-09,Tire Replacement,160.0
S110228,C36718,2020-09-04,Suspension Check,60.0
S62078,C20617,2023-10-18,Air Filter Replacement,387.0
S53515,C17769,2024-08-13,Spark Plug Replacement,120.0
S53513,C17769,2024-01-31,Battery Replacement,338.0
S53512,C17769,2023-09-16,Clutch Replacement,381.0
S49399,C16398,2021-06-28,Wheel Alignment,304.0
S49397,C16398,2023-05-11,Air Filter Replacement,473.0
S49396,C16398,2020-12-09,Tire Replacement,246.0
S33370,C11070,2021-10-20,Major Service,458.0
S33371,C11070,2024-02-16,Coolant Flush,365.0
S97357,C32394,2025-08-11,Coolant Flush,274.0
S28478,C09431,2023-09-12,Major Service,333.0
S53794,C17864,2021-09-28,Battery Replacement,115.0
S83109,C27617,2024-05-31,Major Service,153.0
S83107,C27617,2022-09-09,Air Filter Replacement,311.0
S83106,C27617,2022-08-31,Oil Change,305.0
S39308,C13035,2025-03-11,Tire Replacement,175.0
S39307,C13035,2021-06-11,Oil Change,269.0
S39306,C13035,2023-09-23,Battery Replacement,451.0
S04850,C01604,2022-04-11,Clutch Replacement,178.0
S75417,C25037,2022-01-10,Suspension Check,421.0
S75419,C25037,2022-09-15,Brake Replacement,179.0
S25793,C08538,2024-07-06,Wheel Alignment,95.0
S25794,C08538,2023-02-04,Transmission Check,452.0
S86041,C28602,2021-03-24,Brake Replacement,223.0
S86040,C28602,2025-03-18,Brake Replacement,81.0
S112045,C37322,2024-09-01,Major Service,75.0
S112046,C37322,2025-05-30,Brake Replacement,474.0
S52052,C17285,2025-08-02,Oil Change,396.0
S52051,C17285,2021-05-04,Air Filter Replacement,344.0
S25318,C08376,2021-07-21,Brake Replacement,497.0
S25317,C08376,2024-08-13,Clutch Replacement,453.0
S25319,C08376,2022-03-09,Major Service,441.0
S46330,C15351,2022-10-30,Major Service,184.0
S46328,C15351,2022-08-26,Clutch Replacement,397.0
S46327,C15351,2022-03-17,Transmission Check,187.0
S101068,C33627,2025-03-15,Battery Replacement,128.0
S101067,C33627,2024-02-06,Suspension Check,53.0
S04637,C01537,2023-12-15,Major Service,391.0
S04635,C01537,2024-04-23,Coolant Flush,219.0
S128885,C42912,2024-12-08,Suspension Check,150.0
S19858,C06584,2021-12-05,Transmission Check,217.0
S30574,C10127,2023-07-21,Air Filter Replacement,244.0
S39266,C13023,2023-07-16,Oil Change,454.0
S39268,C13023,2021-03-15,Brake Replacement,455.0
S39267,C13023,2021-09-02,Wheel Alignment,81.0
S102811,C34213,2024-02-20,Tire Replacement,185.0
S146750,C48908,2021-07-14,Brake Replacement,428.0
S13428,C04456,2024-08-10,Clutch Replacement,146.0
S13426,C04456,2023-07-30,Transmission Check,79.0
S13427,C04456,2022-06-24,Suspension Check,210.0
S25506,C08441,2025-07-06,Major Service,164.0
S17212,C05713,2025-02-26,Clutch Replacement,374.0
S17213,C05713,2025-03-11,Air Filter Replacement,380.0
S17211,C05713,2020-11-17,Air Filter Replacement,228.0
S59633,C19825,2023-08-18,Coolant Flush,348.0
S93735,C31176,2023-08-13,Major Service,273.0
S93733,C31176,2022-05-11,Clutch Replacement,116.0
S93731,C31176,2021-10-05,Battery Replacement,257.0
S47396,C15720,2021-02-14,Clutch Replacement,388.0
S28844,C09550,2022-07-01,Transmission Check,80.0
S28845,C09550,2021-03-31,Oil Change,182.0
S28843,C09550,2021-08-15,Spark Plug Replacement,161.0
S132013,C43966,2021-08-14,Coolant Flush,346.0
S39113,C12968,2022-05-04,Wheel Alignment,477.0
S124531,C41471,2023-07-01,Transmission Check,290.0
S124530,C41471,2022-07-20,Major Service,444.0
S140245,C46711,2023-03-21,Tire Replacement,433.0
S140244,C46711,2024-02-11,Coolant Flush,321.0
S28079,C09294,2024-03-07,Wheel Alignment,395.0
S115131,C38336,2021-02-27,Transmission Check,453.0
S115132,C38336,2023-01-07,Brake Replacement,291.0
S115134,C38336,2020-09-22,Spark Plug Replacement,457.0
S114928,C38275,2021-04-01,Brake Replacement,183.0
S114929,C38275,2024-07-15,Major Service,313.0
S114930,C38275,2023-08-13,Wheel Alignment,260.0
S13650,C04520,2021-09-07,Tire Replacement,264.0
S13649,C04520,2023-04-27,Clutch Replacement,380.0
S54936,C18223,2021-02-26,Spark Plug Replacement,135.0
S136296,C45396,2023-07-27,Wheel Alignment,278.0
S136299,C45396,2021-09-18,Transmission Check,270.0
S136298,C45396,2024-09-04,Major Service,169.0
S14723,C04885,2022-05-04,Transmission Check,332.0
S13601,C04507,2021-02-01,Brake Replacement,445.0
S13602,C04507,2024-01-19,Brake Replacement,384.0
S77751,C25812,2020-09-30,Transmission Check,242.0
S77752,C25812,2022-08-29,Suspension Check,76.0
S33543,C11125,2023-01-19,Coolant Flush,256.0
S33544,C11125,2021-08-21,Oil Change,468.0
S01988,C00665,2022-08-09,Oil Change,215.0
S55187,C18300,2025-06-07,Major Service,212.0
S55185,C18300,2025-01-22,Clutch Replacement,388.0
S01500,C00502,2022-04-18,Brake Replacement,328.0
S134733,C44872,2024-01-04,Spark Plug Replacement,378.0
S134734,C44872,2023-10-11,Oil Change,327.0
S98091,C32651,2024-12-18,Brake Replacement,364.0
S123997,C41289,2021-08-04,Suspension Check,243.0
S100907,C33571,2022-02-23,Wheel Alignment,231.0
S100906,C33571,2023-01-01,Brake Replacement,119.0
S100905,C33571,2022-04-19,Major Service,174.0
S148984,C49651,2021-07-03,Brake Replacement,153.0
S148985,C49651,2021-08-17,Brake Replacement,290.0
S148986,C49651,2021-07-29,Oil Change,249.0
S146901,C48952,2021-05-29,Brake Replacement,456.0
S54512,C18088,2024-01-26,Clutch Replacement,426.0
S54509,C18088,2021-08-26,Tire Replacement,425.0
S39972,C13252,2021-11-24,Wheel Alignment,105.0
S39969,C13252,2021-06-01,Wheel Alignment,437.0
S39970,C13252,2024-12-08,Transmission Check,169.0
S49446,C16417,2022-05-14,Oil Change,134.0
S69842,C23207,2020-12-28,Major Service,127.0
S118224,C39376,2022-11-04,Coolant Flush,224.0
S118221,C39376,2024-03-25,Battery Replacement,151.0
S118223,C39376,2022-07-04,Battery Replacement,241.0
S34485,C11437,2023-10-02,Coolant Flush,215.0
S88636,C29464,2021-02-02,Air Filter Replacement,67.0
S88637,C29464,2022-06-04,Oil Change,465.0
S20323,C06737,2024-09-01,Brake Replacement,352.0
S20324,C06737,2025-01-22,Transmission Check,175.0
S20322,C06737,2021-09-05,Wheel Alignment,338.0
S62302,C20687,2022-05-24,Spark Plug Replacement,171.0
S51300,C17050,2021-12-14,Coolant Flush,85.0
S51301,C17050,2025-01-09,Transmission Check,209.0
S14607,C04845,2024-04-01,Oil Change,284.0
S09907,C03273,2025-07-17,Major Service,153.0
S99732,C33178,2023-08-06,Major Service,444.0
S99733,C33178,2024-01-20,Suspension Check,328.0
S95621,C31808,2023-03-01,Suspension Check,64.0
S95619,C31808,2025-03-18,Transmission Check,101.0
S26926,C08905,2022-03-18,Air Filter Replacement,145.0
S26928,C08905,2022-12-18,Clutch Replacement,420.0
S26927,C08905,2024-04-18,Oil Change,110.0
S25411,C08407,2024-04-15,Major Service,212.0
S15083,C05013,2022-02-17,Oil Change,251.0
S15082,C05013,2023-11-18,Spark Plug Replacement,262.0
S12774,C04244,2023-11-21,Battery Replacement,328.0
S46530,C15419,2022-06-30,Major Service,283.0
S123520,C41124,2023-01-16,Brake Replacement,467.0
S123521,C41124,2021-12-03,Major Service,68.0
S89488,C29756,2025-03-12,Major Service,318.0
S89489,C29756,2022-08-20,Suspension Check,265.0
S96683,C32164,2020-10-13,Tire Replacement,64.0
S96148,C31980,2025-03-10,Tire Replacement,95.0
S96145,C31980,2022-11-26,Spark Plug Replacement,165.0
S109437,C36444,2021-05-17,Oil Change,166.0
S109438,C36444,2022-01-25,Brake Replacement,240.0
S49635,C16482,2020-10-29,Battery Replacement,301.0
S49636,C16482,2023-03-05,Wheel Alignment,267.0
S49634,C16482,2025-08-22,Spark Plug Replacement,152.0
S03334,C01115,2020-09-24,Tire Replacement,420.0
S03333,C01115,2024-07-19,Brake Replacement,266.0
S03332,C01115,2021-04-23,Clutch Replacement,389.0
S44934,C14876,2024-10-09,Brake Replacement,66.0
S44933,C14876,2024-07-09,Wheel Alignment,245.0
S44932,C14876,2021-09-08,Brake Replacement,485.0
S117740,C39209,2024-02-11,Coolant Flush,186.0
S117741,C39209,2025-08-16,Oil Change,325.0
S117739,C39209,2022-11-25,Transmission Check,394.0
S35952,C11918,2020-12-19,Battery Replacement,423.0
S35950,C11918,2025-01-29,Battery Replacement,477.0
S35953,C11918,2025-07-18,Battery Replacement,377.0
S105570,C35149,2022-05-14,Transmission Check,369.0
S105571,C35149,2022-04-11,Brake Replacement,408.0
S143463,C47807,2025-07-18,Brake Replacement,189.0
S135958,C45286,2025-08-09,Brake Replacement,61.0
S63207,C20997,2024-09-01,Transmission Check,338.0
S103066,C34299,2022-09-30,Air Filter Replacement,68.0
S66321,C22049,2024-03-27,Wheel Alignment,375.0
S07680,C02529,2025-07-23,Spark Plug Replacement,284.0
S91752,C30519,2022-11-17,Battery Replacement,96.0
S88860,C29541,2022-08-31,Coolant Flush,71.0
S131691,C43855,2021-05-06,Suspension Check,257.0
S131687,C43855,2023-03-28,Coolant Flush,474.0
S131690,C43855,2022-03-21,Wheel Alignment,126.0
S09046,C02985,2024-03-15,Transmission Check,420.0
S84036,C27928,2022-07-02,Brake Replacement,217.0
S67505,C22426,2020-10-15,Spark Plug Replacement,367.0
S67504,C22426,2022-10-18,Wheel Alignment,382.0
S67503,C22426,2025-06-19,Battery Replacement,255.0
S79462,C26390,2022-07-25,Major Service,199.0
S79463,C26390,2024-12-01,Major Service,149.0
S79461,C26390,2024-12-27,Clutch Replacement,69.0
S126630,C42169,2023-12-06,Oil Change,114.0
S57827,C19186,2020-09-26,Transmission Check,215.0
S57825,C19186,2024-06-20,Major Service,346.0
S89096,C29621,2024-06-12,Transmission Check,177.0
S89094,C29621,2024-08-13,Suspension Check,232.0
S61894,C20561,2025-07-14,Air Filter Replacement,189.0
S46572,C15434,2022-07-10,Air Filter Replacement,325.0
S08671,C02864,2023-02-21,Battery Replacement,227.0
S08670,C02864,2022-11-21,Suspension Check,219.0
S69876,C23220,2022-07-22,Wheel Alignment,355.0
S69875,C23220,2022-02-07,Clutch Replacement,172.0
S69877,C23220,2020-12-02,Spark Plug Replacement,280.0
S50173,C16663,2023-01-09,Tire Replacement,244.0
S50174,C16663,2024-02-18,Clutch Replacement,381.0
S30016,C09956,2022-07-05,Wheel Alignment,274.0
S30014,C09956,2023-05-06,Brake Replacement,139.0
S94395,C31403,2023-02-05,Transmission Check,124.0
S94394,C31403,2020-09-02,Coolant Flush,425.0
S105041,C34970,2022-04-04,Spark Plug Replacement,399.0
S105042,C34970,2023-07-23,Tire Replacement,74.0
S69833,C23205,2023-08-11,Brake Replacement,440.0
S69836,C23205,2023-01-07,Transmission Check,423.0
S69834,C23205,2022-10-18,Battery Replacement,122.0
S10200,C03378,2023-09-25,Wheel Alignment,245.0
S04839,C01600,2025-07-13,Clutch Replacement,309.0
S04840,C01600,2021-08-14,Brake Replacement,366.0
S26120,C08640,2023-12-28,Coolant Flush,454.0
S26121,C08640,2021-03-28,Battery Replacement,121.0
S66617,C22143,2022-02-03,Oil Change,430.0
S66616,C22143,2023-10-27,Brake Replacement,434.0
S66736,C22183,2024-11-05,Wheel Alignment,375.0
S66735,C22183,2021-07-09,Oil Change,415.0
S29950,C09933,2022-06-28,Transmission Check,248.0
S29947,C09933,2024-08-25,Coolant Flush,425.0
S29949,C09933,2024-07-28,Spark Plug Replacement,458.0
S108812,C36232,2024-10-30,Transmission Check,275.0
S131980,C43953,2022-03-26,Wheel Alignment,62.0
S131979,C43953,2020-10-28,Clutch Replacement,425.0
S115104,C38327,2024-10-02,Wheel Alignment,403.0
S115103,C38327,2022-07-17,Air Filter Replacement,468.0
S53555,C17782,2024-05-12,Transmission Check,362.0
S53557,C17782,2023-09-20,Suspension Check,414.0
S53556,C17782,2024-02-11,Coolant Flush,305.0
S93406,C31071,2022-06-22,Tire Replacement,310.0
S66987,C22257,2025-07-23,Wheel Alignment,163.0
S66989,C22257,2020-09-10,Brake Replacement,439.0
S28569,C09460,2022-06-15,Brake Replacement,102.0
S32191,C10666,2023-09-10,Air Filter Replacement,396.0
S77912,C25866,2024-12-07,Oil Change,291.0
S144080,C48002,2025-07-05,Major Service,328.0
S144079,C48002,2022-12-22,Air Filter Replacement,448.0
S144081,C48002,2021-02-17,Suspension Check,419.0
S52856,C17555,2025-07-05,Air Filter Replacement,204.0
S116791,C38887,2023-09-07,Major Service,228.0
S86002,C28591,2020-12-07,Suspension Check,66.0
S58988,C19594,2020-10-10,Clutch Replacement,248.0
S35707,C11840,2025-01-30,Oil Change,179.0
S35709,C11840,2021-09-02,Suspension Check,288.0
S35708,C11840,2023-11-23,Battery Replacement,120.0
S57432,C19063,2021-05-02,Spark Plug Replacement,154.0
S57430,C19063,2023-03-06,Coolant Flush,164.0
S119709,C39869,2024-07-28,Tire Replacement,361.0
S119707,C39869,2023-10-19,Major Service,485.0
S56709,C18827,2025-01-06,Suspension Check,229.0
S40631,C13474,2023-11-16,Clutch Replacement,166.0
S05496,C01812,2022-09-12,Tire Replacement,345.0
S41047,C13605,2024-12-31,Transmission Check,105.0
S41048,C13605,2022-01-02,Battery Replacement,485.0
S137570,C45815,2021-05-23,Transmission Check,153.0
S137573,C45815,2022-10-03,Clutch Replacement,309.0
S58119,C19288,2023-07-16,Battery Replacement,89.0
S58120,C19288,2023-11-27,Clutch Replacement,499.0
S136449,C45445,2021-10-14,Coolant Flush,357.0
S06714,C02214,2023-09-28,Brake Replacement,452.0
S83149,C27631,2021-02-02,Transmission Check,406.0
S131844,C43905,2024-01-05,Oil Change,399.0
S131845,C43905,2023-06-08,Suspension Check,324.0
S63961,C21256,2024-07-22,Transmission Check,177.0
S69160,C22983,2024-12-16,Battery Replacement,218.0
S48361,C16040,2022-05-26,Battery Replacement,422.0
S08105,C02673,2022-02-05,Brake Replacement,284.0
S08104,C02673,2024-10-31,Brake Replacement,339.0
S08103,C02673,2022-03-22,Air Filter Replacement,387.0
S07902,C02609,2023-07-28,Clutch Replacement,62.0
