AccidentID,CarID,Date_of_Accident,Description,Cost_of_Repair,Severity
A57837,C38486,2023-05-14,Rear bumper collision,1202.0,Moderate
A21184,C14062,2025-02-25,Accident on slippery road,4397.0,Minor
A21185,C14062,2024-02-21,Rear-end hit at traffic light,1007.0,Minor
A14962,C09926,2023-12-07,Tire puncture during accident,637.0,Severe
A14963,C09926,2024-02-12,Fender scratch from curb,4946.0,Moderate
A05032,C03402,2023-09-24,Parking lot scrape,4705.0,Severe
A05033,C03402,2024-02-25,Scratched paint on rear bumper,1980.0,Minor
A64778,C43024,2022-08-17,Fender scratch from curb,2157.0,Minor
A28041,C18675,2025-03-30,Collision with pole,2775.0,Major
A28042,C18675,2020-12-19,Rear quarter panel dent,2718.0,Minor
A28043,C18675,2022-06-16,Scratched paint on rear bumper,3992.0,Moderate
A71615,C47624,2021-11-14,Minor fender bender,1849.0,Severe
A35480,C23615,2025-04-03,Hood dent from minor crash,2634.0,Moderate
A35481,C23615,2022-05-21,Side mirror broken,4871.0,Minor
A39668,C26363,2024-04-16,Damage from pothole incident,488.0,Minor
A39669,C26363,2023-05-09,Rear bumper collision,3067.0,Minor
A56556,C37637,2025-05-09,Scratched paint on rear bumper,2403.0,Severe
A56557,C37637,2022-12-22,Rear bumper collision,920.0,Moderate
A56558,C37637,2020-09-09,Collision with pole,4514.0,Severe
A46395,C30888,2020-12-07,Fender scratch from curb,4581.0,Minor
A46396,C30888,2020-09-12,Side panel scratch,4346.0,Moderate
A69639,C46316,2020-12-31,Head-on collision,941.0,Severe
A69640,C46316,2025-04-13,Rear bumper collision,3816.0,Major
A69641,C46316,2022-12-03,Damage from pothole incident,4567.0,Minor
A34060,C22703,2024-03-29,Front bumper scrape,3373.0,Moderate
A34061,C22703,2022-04-25,Minor collision at roundabout,572.0,Major
A65694,C43633,2022-03-29,Damage from pothole incident,2702.0,Moderate
A65695,C43633,2025-06-13,Side mirror broken,1070.0,Moderate
A65696,C43633,2021-11-16,Rear-end hit at traffic light,939.0,Severe
A41454,C27562,2024-02-01,Side swipe from passing vehicle,2646.0,Severe
A50495,C33625,2022-05-29,Accident on slippery road,268.0,Major
A50496,C33625,2024-04-10,Damage from pothole incident,3628.0,Minor
A71570,C47597,2024-12-11,Damage from pothole incident,2540.0,Severe
A71571,C47597,2021-04-20,Scratched paint on rear bumper,2021.0,Major
A71572,C47597,2024-04-03,Accident on slippery road,4827.0,Moderate
A32928,C21936,2024-04-09,Fender scratch from curb,4652.0,Severe
A27289,C18170,2023-11-20,Windshield damage,2251.0,Minor
A27290,C18170,2024-04-10,Head-on collision,4043.0,Moderate
A44209,C29420,2025-02-02,Side panel scratch,298.0,Major
A44210,C29420,2022-09-23,Rear-end hit at traffic light,4751.0,Severe
A44211,C29420,2024-06-22,Tire puncture during accident,1588.0,Major
A54983,C36617,2025-06-06,Front bumper scrape,3203.0,Minor
A54984,C36617,2022-03-10,Side swipe from passing vehicle,2364.0,Minor
A54985,C36617,2022-04-14,Rear bumper collision,1449.0,Minor
A16004,C10594,2022-11-17,Hood dent from minor crash,1070.0,Moderate
A16005,C10594,2022-08-12,Rear bumper collision,3312.0,Minor
A16006,C10594,2024-10-29,Minor collision at roundabout,857.0,Major
A56239,C37424,2024-07-31,Scratched paint on rear bumper,153.0,Severe
A56240,C37424,2022-04-21,Rear-end hit at traffic light,4305.0,Minor
A56241,C37424,2022-03-27,Rear-end hit at traffic light,1267.0,Severe
A25021,C16675,2023-08-25,Hood dent from minor crash,358.0,Major
A25022,C16675,2021-09-25,Minor collision at roundabout,4055.0,Minor
A32101,C21394,2023-06-28,Damage from pothole incident,3780.0,Moderate
A32102,C21394,2022-07-28,Rear-end hit at traffic light,3667.0,Minor
A32103,C21394,2023-01-14,Head-on collision,3076.0,Moderate
A66849,C44423,2021-08-24,Tire puncture during accident,2907.0,Severe
A66850,C44423,2020-10-29,Tire puncture during accident,1976.0,Minor
A66851,C44423,2025-03-29,Rear-end hit at traffic light,3945.0,Moderate
A09417,C06294,2024-12-13,Head-on collision,3725.0,Minor
A09418,C06294,2025-07-29,Accident on slippery road,1372.0,Moderate
A09419,C06294,2024-08-18,Scratched paint on rear bumper,1175.0,Minor
A55860,C37182,2022-11-02,Side swipe from passing vehicle,403.0,Minor
A55861,C37182,2021-06-21,Minor collision at roundabout,1218.0,Severe
A04767,C03231,2020-09-10,Side panel scratch,2859.0,Severe
A04768,C03231,2025-08-06,Windshield damage,2213.0,Moderate
A63031,C41879,2023-12-22,Windshield damage,3382.0,Severe
A63032,C41879,2020-10-01,Accident on slippery road,2449.0,Moderate
A21815,C14464,2021-08-02,Tire puncture during accident,1134.0,Moderate
A21816,C14464,2023-01-10,Side mirror broken,3086.0,Moderate
A23093,C15354,2021-11-15,Windshield damage,3139.0,Severe
A26711,C17787,2021-09-09,Side panel scratch,2010.0,Minor
A26712,C17787,2024-06-23,Minor collision at roundabout,4272.0,Major
A24617,C16393,2021-08-08,Tire puncture during accident,507.0,Minor
A24618,C16393,2022-08-12,Rear quarter panel dent,3341.0,Minor
A24619,C16393,2020-10-25,Scratched paint on rear bumper,2518.0,Moderate
A48843,C32530,2022-01-10,Minor parking lot accident,2255.0,Moderate
A48844,C32530,2024-08-16,Minor fender bender,2761.0,Minor
A48845,C32530,2021-04-06,Minor parking lot accident,4613.0,Moderate
A65511,C43524,2023-09-16,Collision with pole,4171.0,Minor
A65512,C43524,2021-12-20,Scratched paint on rear bumper,4085.0,Minor
A65513,C43524,2022-08-16,Scratched paint on rear bumper,3691.0,Major
A62523,C41558,2024-10-24,Side mirror broken,2069.0,Minor
A62524,C41558,2022-06-30,Side swipe from passing vehicle,274.0,Severe
A62525,C41558,2023-05-23,Accident on slippery road,3122.0,Moderate
A24897,C16582,2024-11-11,Accident on slippery road,3774.0,Moderate
A26370,C17556,2021-07-06,Fender scratch from curb,1013.0,Moderate
A57547,C38307,2020-10-03,Side panel scratch,3089.0,Moderate
A55656,C37062,2021-09-05,Minor fender bender,564.0,Minor
A55657,C37062,2021-12-08,Minor parking lot accident,2119.0,Major
A26059,C17363,2024-09-22,Side panel scratch,2991.0,Severe
A01550,C01078,2023-09-26,Minor fender bender,644.0,Severe
A01551,C01078,2021-10-28,Door dent from tight parking,1168.0,Major
A70976,C47207,2021-08-09,Head-on collision,3797.0,Minor
A70977,C47207,2022-03-29,Fender scratch from curb,3977.0,Minor
A08207,C05502,2022-04-24,Rear-end hit at traffic light,3544.0,Moderate
A51872,C34529,2025-07-10,Fender scratch from curb,2858.0,Major
A31891,C21245,2024-11-29,Windshield damage,3843.0,Major
A04432,C03001,2021-07-06,Side panel scratch,3698.0,Minor
A04433,C03001,2022-05-06,Minor fender bender,3995.0,Major
A59734,C39704,2024-09-28,Hood dent from minor crash,3447.0,Minor
A71347,C47445,2021-09-10,Side panel scratch,2778.0,Minor
A71348,C47445,2025-01-30,Front bumper scrape,4771.0,Moderate
A07091,C04760,2024-07-19,Minor parking lot accident,1572.0,Minor
A07092,C04760,2021-09-20,Accident on slippery road,404.0,Minor
A07093,C04760,2025-03-14,Windshield damage,2136.0,Minor
A66653,C44283,2024-07-14,Rear bumper collision,4253.0,Minor
A66654,C44283,2023-05-15,Tire puncture during accident,2501.0,Severe
A66655,C44283,2022-11-18,Front bumper scrape,3824.0,Moderate
A24839,C16540,2023-10-25,Minor collision at roundabout,2412.0,Minor
A24840,C16540,2024-08-22,Minor parking lot accident,4439.0,Major
A24841,C16540,2021-03-03,Side panel scratch,4502.0,Moderate
A65939,C43801,2021-05-22,Head-on collision,3035.0,Moderate
A37772,C25152,2021-03-20,Minor parking lot accident,3271.0,Severe
A12561,C08323,2021-12-26,Head-on collision,365.0,Moderate
A12562,C08323,2022-05-19,Front bumper scrape,351.0,Major
A57317,C38151,2021-02-27,Damage from pothole incident,1055.0,Severe
A57318,C38151,2021-05-31,Side mirror broken,786.0,Moderate
A57319,C38151,2021-08-15,Hood dent from minor crash,1292.0,Major
A72053,C47905,2021-01-29,Head-on collision,4096.0,Severe
A72054,C47905,2020-09-02,Side mirror broken,2484.0,Minor
A22516,C14947,2024-01-14,Door dent from tight parking,152.0,Severe
A22517,C14947,2025-04-07,Rear quarter panel dent,4572.0,Severe
A22518,C14947,2022-11-28,Tire puncture during accident,766.0,Major
A65376,C43423,2022-02-10,Side swipe from passing vehicle,2820.0,Major
A14258,C09469,2023-03-30,Minor fender bender,4796.0,Moderate
A37527,C24989,2024-04-25,Side mirror broken,3505.0,Severe
A37528,C24989,2021-12-22,Damage from pothole incident,4377.0,Moderate
A37529,C24989,2022-01-11,Door dent from tight parking,2146.0,Severe
A51801,C34483,2022-08-21,Collision with pole,175.0,Major
A51802,C34483,2024-02-29,Tire puncture during accident,1883.0,Minor
A47583,C31681,2025-08-29,Head-on collision,2497.0,Minor
A47584,C31681,2025-03-04,Side panel scratch,740.0,Severe
A47585,C31681,2021-11-18,Front-end collision,534.0,Moderate
A06662,C04476,2022-09-26,Fender scratch from curb,3293.0,Severe
A06663,C04476,2022-05-31,Hood dent from minor crash,2099.0,Severe
A06664,C04476,2023-01-28,Fender scratch from curb,4876.0,Minor
A34665,C23091,2024-07-27,Minor collision at roundabout,3630.0,Moderate
A18496,C12262,2024-10-28,Rear quarter panel dent,159.0,Moderate
A18497,C12262,2021-10-15,Fender scratch from curb,2676.0,Major
A03510,C02418,2022-09-25,Side panel scratch,910.0,Minor
A03511,C02418,2025-08-01,Side mirror broken,4795.0,Severe
A15430,C10215,2021-07-11,Tire puncture during accident,332.0,Major
A63405,C42120,2023-04-11,Head-on collision,4486.0,Major
A63406,C42120,2021-03-13,Hood dent from minor crash,565.0,Minor
A63407,C42120,2025-01-26,Front bumper scrape,135.0,Major
A06126,C04121,2022-10-28,Accident on slippery road,513.0,Major
A06127,C04121,2023-05-05,Minor fender bender,3963.0,Major
A74805,C49745,2022-01-20,Damage from pothole incident,3538.0,Minor
A08659,C05795,2025-04-17,Tire puncture during accident,2191.0,Severe
A08660,C05795,2024-09-05,Parking lot scrape,2309.0,Major
A58475,C38895,2024-01-25,Rear bumper collision,254.0,Moderate
A58476,C38895,2021-10-10,Parking lot scrape,477.0,Minor
A37391,C24906,2022-06-09,Fender scratch from curb,4823.0,Minor
A37392,C24906,2024-12-04,Accident on slippery road,4422.0,Minor
A37393,C24906,2021-02-26,Collision with pole,1697.0,Moderate
A15346,C10164,2023-06-05,Minor collision at roundabout,3901.0,Moderate
A04163,C02830,2021-09-13,Scratched paint on rear bumper,3859.0,Major
A04164,C02830,2025-05-01,Parking lot scrape,3501.0,Major
A04165,C02830,2024-06-05,Fender scratch from curb,1426.0,Minor
A56389,C37520,2023-05-04,Collision with pole,3212.0,Severe
A56390,C37520,2023-12-14,Minor fender bender,1962.0,Major
A20824,C13827,2022-01-03,Hood dent from minor crash,4988.0,Minor
A48463,C32272,2022-05-13,Front bumper scrape,4586.0,Moderate
A34701,C23116,2022-01-23,Scratched paint on rear bumper,1665.0,Severe
A43456,C28908,2021-08-21,Minor fender bender,3194.0,Major
A43457,C28908,2025-04-19,Front bumper scrape,1267.0,Moderate
A43458,C28908,2023-01-30,Minor parking lot accident,248.0,Major
A52987,C35277,2024-04-15,Hood dent from minor crash,4291.0,Major
A52988,C35277,2024-07-11,Tire puncture during accident,2949.0,Moderate
A58189,C38709,2022-12-27,Scratched paint on rear bumper,4794.0,Severe
A58190,C38709,2025-04-12,Head-on collision,1091.0,Minor
A51902,C34544,2024-05-16,Front bumper scrape,4076.0,Moderate
A23112,C15365,2022-11-04,Rear quarter panel dent,849.0,Minor
A23113,C15365,2025-08-15,Minor collision at roundabout,950.0,Minor
A50550,C33649,2022-04-28,Parking lot scrape,1878.0,Minor
A50551,C33649,2022-03-14,Minor parking lot accident,4859.0,Minor
A50552,C33649,2020-10-06,Head-on collision,1144.0,Severe
A03979,C02706,2025-01-23,Minor parking lot accident,3621.0,Minor
A03980,C02706,2022-07-18,Front-end collision,4173.0,Severe
A24723,C16461,2023-02-26,Hood dent from minor crash,2526.0,Moderate
A24724,C16461,2023-02-06,Rear bumper collision,3163.0,Major
A24725,C16461,2021-01-16,Tire puncture during accident,4502.0,Moderate
A63804,C42390,2021-12-06,Rear-end hit at traffic light,3441.0,Moderate
A63805,C42390,2023-05-10,Fender scratch from curb,344.0,Minor
A63806,C42390,2021-08-18,Side mirror broken,2904.0,Moderate
A36499,C24320,2024-12-11,Side mirror broken,1060.0,Major
A41374,C27516,2021-02-24,Minor fender bender,2767.0,Severe
A41375,C27516,2024-03-14,Scratched paint on rear bumper,4364.0,Severe
A41376,C27516,2021-07-04,Damage from pothole incident,3544.0,Minor
A58891,C39163,2024-10-10,Fender scratch from curb,4683.0,Moderate
A58892,C39163,2024-11-17,Side swipe from passing vehicle,2328.0,Moderate
A58893,C39163,2022-10-07,Parking lot scrape,4974.0,Moderate
A61110,C40618,2020-12-16,Side panel scratch,4940.0,Severe
A66472,C44156,2021-03-20,Collision with pole,534.0,Severe
A48656,C32385,2021-02-02,Minor collision at roundabout,4257.0,Severe
A44479,C29602,2021-08-13,Accident on slippery road,427.0,Moderate
A51897,C34542,2021-08-17,Parking lot scrape,2703.0,Moderate
A51898,C34542,2024-09-09,Hood dent from minor crash,4638.0,Major
A51899,C34542,2024-06-13,Front bumper scrape,1853.0,Severe
A09985,C06654,2023-09-17,Side swipe from passing vehicle,548.0,Moderate
A69863,C46469,2022-07-11,Rear-end hit at traffic light,4229.0,Severe
A02111,C01471,2023-03-28,Rear bumper collision,186.0,Minor
A16460,C10908,2023-09-23,Rear bumper collision,4066.0,Major
A16461,C10908,2024-06-08,Minor fender bender,3240.0,Moderate
A16462,C10908,2022-05-19,Rear-end hit at traffic light,3356.0,Severe
A62344,C41442,2023-09-10,Front-end collision,2971.0,Minor
A62345,C41442,2023-10-08,Hood dent from minor crash,2052.0,Severe
A62346,C41442,2023-11-26,Side panel scratch,3774.0,Severe
A65231,C43322,2022-12-09,Front bumper scrape,993.0,Moderate
A65232,C43322,2024-04-22,Side mirror broken,4376.0,Moderate
A09592,C06393,2021-08-30,Hood dent from minor crash,4865.0,Major
A09593,C06393,2025-07-17,Head-on collision,4691.0,Severe
A26912,C17923,2023-12-21,Rear-end hit at traffic light,2616.0,Major
A26913,C17923,2021-11-20,Tire puncture during accident,1265.0,Severe
A48992,C32632,2024-04-07,Side swipe from passing vehicle,244.0,Major
A34353,C22898,2023-07-02,Parking lot scrape,2334.0,Major
A34354,C22898,2025-05-30,Accident on slippery road,3045.0,Moderate
A34355,C22898,2025-01-08,Fender scratch from curb,1626.0,Minor
A09493,C06341,2024-05-20,Fender scratch from curb,1586.0,Minor
A09494,C06341,2022-12-03,Parking lot scrape,3943.0,Minor
A09495,C06341,2020-11-10,Head-on collision,2277.0,Major
A57733,C38423,2020-10-08,Scratched paint on rear bumper,4646.0,Major
A57734,C38423,2020-11-16,Minor fender bender,3961.0,Major
A57735,C38423,2025-04-20,Collision with pole,4082.0,Moderate
A28397,C18917,2023-01-02,Accident on slippery road,1957.0,Major
A28398,C18917,2024-03-17,Accident on slippery road,685.0,Moderate
A28399,C18917,2025-01-06,Minor fender bender,2227.0,Moderate
A38951,C25896,2024-11-09,Fender scratch from curb,4240.0,Minor
A19562,C12956,2024-05-12,Side mirror broken,2914.0,Minor
A43671,C29066,2024-07-26,Front bumper scrape,2948.0,Minor
A43672,C29066,2024-08-04,Accident on slippery road,2267.0,Major
A52832,C35183,2025-01-31,Collision with pole,1986.0,Severe
A47253,C31471,2021-03-02,Minor fender bender,3768.0,Major
A27182,C18108,2021-10-27,Rear-end hit at traffic light,521.0,Minor
A27183,C18108,2022-11-07,Head-on collision,1393.0,Moderate
A27184,C18108,2023-02-14,Minor fender bender,1710.0,Moderate
A43393,C28859,2024-09-16,Rear-end hit at traffic light,2441.0,Major
A43394,C28859,2025-05-04,Minor collision at roundabout,1316.0,Severe
A00841,C00579,2022-11-01,Minor parking lot accident,3520.0,Major
A00842,C00579,2023-04-18,Parking lot scrape,1423.0,Moderate
A00843,C00579,2021-04-14,Side panel scratch,2334.0,Major
A08498,C05693,2024-06-04,Tire puncture during accident,1153.0,Major
A08499,C05693,2023-06-10,Side swipe from passing vehicle,2121.0,Minor
A38291,C25473,2022-01-26,Fender scratch from curb,3406.0,Moderate
A60484,C40200,2024-11-19,Accident on slippery road,4310.0,Severe
A60485,C40200,2021-08-07,Accident on slippery road,4733.0,Major
A48888,C32562,2024-07-29,Minor parking lot accident,497.0,Severe
A48889,C32562,2021-04-30,Side mirror broken,156.0,Minor
A48890,C32562,2022-09-23,Collision with pole,2042.0,Major
A16398,C10870,2020-09-11,Door dent from tight parking,4528.0,Minor
A16399,C10870,2023-01-26,Door dent from tight parking,4419.0,Moderate
A16400,C10870,2023-01-16,Rear quarter panel dent,790.0,Major
A69696,C46361,2020-12-15,Tire puncture during accident,2015.0,Minor
A69697,C46361,2024-05-25,Accident on slippery road,2012.0,Major
A69698,C46361,2024-03-11,Rear bumper collision,4521.0,Minor
A73433,C48807,2025-05-08,Minor collision at roundabout,4582.0,Moderate
A73434,C48807,2023-02-12,Tire puncture during accident,1385.0,Minor
A73435,C48807,2020-10-21,Front bumper scrape,3851.0,Minor
A62950,C41829,2022-07-09,Parking lot scrape,2874.0,Minor
A62951,C41829,2022-02-12,Minor collision at roundabout,2378.0,Moderate
A43997,C29274,2024-09-24,Tire puncture during accident,3904.0,Moderate
A43998,C29274,2023-12-01,Accident on slippery road,3656.0,Moderate
A43999,C29274,2023-10-03,Accident on slippery road,1731.0,Moderate
A64945,C43133,2023-07-22,Side swipe from passing vehicle,2250.0,Major
A64946,C43133,2023-09-16,Minor fender bender,4885.0,Moderate
A64947,C43133,2022-02-08,Rear quarter panel dent,1330.0,Minor
A40573,C26969,2022-09-16,Rear quarter panel dent,4998.0,Severe
A40574,C26969,2025-04-24,Scratched paint on rear bumper,1053.0,Moderate
A32320,C21536,2024-01-21,Minor fender bender,734.0,Major
A45466,C30282,2023-08-30,Front bumper scrape,2890.0,Major
A45467,C30282,2021-09-26,Side mirror broken,4970.0,Minor
A45468,C30282,2025-04-22,Scratched paint on rear bumper,3333.0,Minor
A43605,C29014,2025-01-17,Head-on collision,3614.0,Moderate
A43606,C29014,2022-07-13,Damage from pothole incident,2993.0,Moderate
A43607,C29014,2022-11-01,Fender scratch from curb,3939.0,Major
A73298,C48723,2021-03-25,Front-end collision,4549.0,Minor
A73299,C48723,2023-08-03,Side swipe from passing vehicle,1157.0,Severe
A48776,C32478,2022-10-02,Scratched paint on rear bumper,4789.0,Minor
A48777,C32478,2022-01-13,Front bumper scrape,783.0,Moderate
A22660,C15042,2023-12-07,Rear bumper collision,1990.0,Moderate
A22661,C15042,2022-08-28,Rear bumper collision,465.0,Severe
A22662,C15042,2021-07-10,Scratched paint on rear bumper,4652.0,Minor
A04034,C02741,2022-07-12,Hood dent from minor crash,3237.0,Minor
A04035,C02741,2023-02-19,Front-end collision,4744.0,Severe
A04036,C02741,2022-08-24,Tire puncture during accident,2939.0,Minor
A09165,C06129,2023-09-14,Collision with pole,162.0,Moderate
A09166,C06129,2022-12-25,Tire puncture during accident,2157.0,Minor
A09167,C06129,2021-09-01,Minor fender bender,4482.0,Minor
A40575,C26971,2023-09-01,Side panel scratch,2657.0,Minor
A40576,C26971,2024-02-06,Rear quarter panel dent,4924.0,Moderate
A40577,C26971,2023-12-24,Accident on slippery road,1531.0,Severe
A73008,C48529,2022-07-17,Accident on slippery road,4396.0,Moderate
A73009,C48529,2022-09-29,Front-end collision,3420.0,Minor
A73010,C48529,2024-06-12,Scratched paint on rear bumper,681.0,Minor
A38534,C25632,2021-09-22,Door dent from tight parking,4379.0,Minor
A06019,C04035,2023-10-18,Parking lot scrape,4499.0,Minor
A06020,C04035,2023-07-18,Accident on slippery road,2429.0,Moderate
A25107,C16730,2021-08-01,Collision with pole,1704.0,Moderate
A39172,C26042,2020-12-05,Tire puncture during accident,848.0,Severe
A64546,C42859,2022-06-13,Fender scratch from curb,3157.0,Moderate
A64547,C42859,2021-12-20,Parking lot scrape,2868.0,Minor
A64548,C42859,2022-02-28,Door dent from tight parking,3115.0,Severe
A62811,C41755,2024-01-14,Front-end collision,4446.0,Minor
A62812,C41755,2024-04-23,Rear-end hit at traffic light,4941.0,Severe
A45052,C29996,2022-08-10,Front-end collision,2398.0,Major
A45053,C29996,2020-10-26,Damage from pothole incident,3702.0,Moderate
A29727,C19793,2022-04-18,Front bumper scrape,1051.0,Moderate
A29728,C19793,2021-12-11,Scratched paint on rear bumper,3447.0,Severe
A60460,C40179,2025-04-02,Parking lot scrape,4110.0,Severe
A60461,C40179,2022-01-09,Fender scratch from curb,1783.0,Major
A41999,C27920,2021-07-22,Rear bumper collision,4866.0,Major
A42000,C27920,2021-06-15,Minor collision at roundabout,4523.0,Major
A42001,C27920,2024-06-23,Minor collision at roundabout,2594.0,Moderate
A27238,C18138,2023-02-14,Front-end collision,633.0,Severe
A27239,C18138,2021-01-04,Hood dent from minor crash,2048.0,Major
A45214,C30114,2023-05-21,Hood dent from minor crash,1169.0,Severe
A56761,C37768,2023-08-13,Rear-end hit at traffic light,4282.0,Minor
A56762,C37768,2023-06-24,Fender scratch from curb,4758.0,Minor
A26048,C17354,2025-01-21,Side panel scratch,2691.0,Moderate
A26049,C17354,2021-06-14,Parking lot scrape,800.0,Moderate
A26050,C17354,2022-06-14,Parking lot scrape,4410.0,Severe
A03045,C02082,2021-05-08,Head-on collision,1099.0,Major
A03046,C02082,2025-04-11,Minor parking lot accident,2957.0,Severe
A03047,C02082,2022-05-29,Front bumper scrape,4857.0,Minor
A65368,C43417,2024-02-08,Minor fender bender,2931.0,Minor
A65369,C43417,2024-04-30,Hood dent from minor crash,1287.0,Moderate
A65370,C43417,2025-03-28,Rear bumper collision,1396.0,Major
A62749,C41712,2023-06-29,Head-on collision,2480.0,Moderate
A60423,C40156,2021-12-11,Scratched paint on rear bumper,2692.0,Severe
A60424,C40156,2025-02-13,Windshield damage,1835.0,Moderate
A60425,C40156,2025-05-21,Rear quarter panel dent,4995.0,Minor
A64476,C42811,2024-03-17,Rear quarter panel dent,3430.0,Severe
A10298,C06851,2022-03-10,Minor fender bender,4570.0,Moderate
A10299,C06851,2025-01-09,Door dent from tight parking,4149.0,Severe
A18203,C12066,2024-01-23,Rear quarter panel dent,3919.0,Major
A18204,C12066,2024-09-14,Front bumper scrape,202.0,Major
A18205,C12066,2023-10-01,Damage from pothole incident,3388.0,Major
A16919,C11221,2022-06-18,Side swipe from passing vehicle,1779.0,Severe
A23973,C15945,2021-09-04,Hood dent from minor crash,120.0,Minor
A23974,C15945,2023-11-09,Side panel scratch,2814.0,Moderate
A00760,C00524,2023-03-07,Accident on slippery road,4154.0,Moderate
A00761,C00524,2024-11-06,Accident on slippery road,3642.0,Minor
A00762,C00524,2023-12-22,Rear quarter panel dent,3750.0,Severe
A58363,C38824,2020-10-31,Front bumper scrape,1686.0,Major
A58364,C38824,2022-09-24,Rear-end hit at traffic light,1197.0,Major
A58365,C38824,2023-07-13,Minor collision at roundabout,1475.0,Severe
A61605,C40946,2022-07-23,Side panel scratch,2822.0,Moderate
A61606,C40946,2023-08-09,Minor collision at roundabout,3195.0,Moderate
A46312,C30838,2024-06-16,Rear bumper collision,2741.0,Severe
A46313,C30838,2020-11-22,Windshield damage,2008.0,Moderate
A18074,C11988,2022-10-16,Accident on slippery road,4688.0,Severe
A57397,C38203,2021-10-19,Collision with pole,3477.0,Severe
A57398,C38203,2022-06-09,Tire puncture during accident,917.0,Severe
A57399,C38203,2022-07-22,Front-end collision,833.0,Severe
A57094,C38004,2023-11-10,Collision with pole,3717.0,Minor
A57095,C38004,2023-09-20,Tire puncture during accident,2913.0,Major
A57096,C38004,2020-09-14,Minor fender bender,4632.0,Severe
A66250,C44014,2022-01-24,Minor parking lot accident,2204.0,Major
A66251,C44014,2025-05-20,Head-on collision,2952.0,Major
A66252,C44014,2022-09-12,Front bumper scrape,195.0,Major
A45110,C30037,2024-08-28,Accident on slippery road,924.0,Minor
A69220,C46036,2025-08-29,Head-on collision,2449.0,Minor
A55444,C36925,2021-04-14,Front-end collision,3802.0,Severe
A55445,C36925,2022-09-23,Minor fender bender,4455.0,Severe
A44519,C29625,2021-11-24,Tire puncture during accident,3484.0,Minor
A44520,C29625,2024-05-14,Damage from pothole incident,3954.0,Moderate
A46084,C30694,2021-06-11,Head-on collision,3400.0,Severe
A54899,C36551,2022-07-18,Collision with pole,2643.0,Minor
A54900,C36551,2020-10-26,Front-end collision,4261.0,Major
A54901,C36551,2024-09-10,Door dent from tight parking,1110.0,Minor
A37536,C24994,2024-05-11,Minor fender bender,2814.0,Major
A37537,C24994,2024-10-21,Accident on slippery road,3349.0,Moderate
A37538,C24994,2021-09-07,Fender scratch from curb,1847.0,Major
A70834,C47110,2021-02-16,Rear-end hit at traffic light,2583.0,Moderate
A36002,C23987,2022-12-04,Side panel scratch,4922.0,Major
A36003,C23987,2023-07-15,Minor fender bender,954.0,Moderate
A36004,C23987,2025-04-03,Scratched paint on rear bumper,4512.0,Minor
A61242,C40699,2023-08-15,Windshield damage,3070.0,Moderate
A61243,C40699,2020-09-24,Tire puncture during accident,2458.0,Moderate
A34927,C23264,2024-03-24,Collision with pole,173.0,Minor
A34928,C23264,2024-07-19,Collision with pole,4805.0,Severe
A34929,C23264,2023-08-01,Minor collision at roundabout,4749.0,Moderate
A66413,C44117,2025-02-08,Minor collision at roundabout,2133.0,Minor
A50187,C33422,2020-11-07,Rear bumper collision,4682.0,Severe
A50188,C33422,2023-10-30,Collision with pole,649.0,Moderate
A50189,C33422,2023-10-03,Door dent from tight parking,2535.0,Severe
A58248,C38748,2021-01-05,Accident on slippery road,2183.0,Moderate
A41278,C27450,2021-10-21,Minor fender bender,3785.0,Moderate
A41279,C27450,2025-06-19,Fender scratch from curb,1227.0,Moderate
A08054,C05397,2021-03-28,Accident on slippery road,3398.0,Minor
A08055,C05397,2022-11-25,Hood dent from minor crash,4026.0,Major
A08056,C05397,2021-08-02,Parking lot scrape,4107.0,Moderate
A28773,C19169,2022-11-07,Rear quarter panel dent,3709.0,Severe
A28774,C19169,2024-11-06,Side mirror broken,432.0,Major
A05591,C03760,2022-02-28,Front bumper scrape,4932.0,Moderate
A23632,C15704,2021-03-23,Side panel scratch,1983.0,Major
A23633,C15704,2025-07-03,Side mirror broken,853.0,Severe
A23634,C15704,2020-10-11,Side mirror broken,4081.0,Moderate
A28268,C18830,2024-07-25,Accident on slippery road,3932.0,Minor
A28269,C18830,2024-10-28,Damage from pothole incident,404.0,Major
A28270,C18830,2025-01-20,Rear-end hit at traffic light,3551.0,Severe
A65956,C43812,2022-03-26,Scratched paint on rear bumper,3419.0,Severe
A65957,C43812,2023-09-19,Front-end collision,3479.0,Major
A28872,C19225,2022-01-07,Parking lot scrape,4056.0,Major
A37790,C25163,2023-07-07,Parking lot scrape,1191.0,Major
A37791,C25163,2021-02-05,Minor parking lot accident,1925.0,Major
A37792,C25163,2022-03-08,Side mirror broken,2712.0,Major
A43964,C29248,2021-06-30,Head-on collision,638.0,Major
A08195,C05492,2023-08-06,Damage from pothole incident,363.0,Major
A46524,C30974,2020-12-09,Accident on slippery road,2164.0,Moderate
A46525,C30974,2021-12-30,Scratched paint on rear bumper,1218.0,Minor
A46526,C30974,2023-06-10,Minor fender bender,3585.0,Major
A25812,C17197,2022-05-19,Side panel scratch,109.0,Moderate
A25813,C17197,2023-10-27,Side panel scratch,4382.0,Major
A54974,C36609,2023-09-15,Tire puncture during accident,2077.0,Major
A72007,C47879,2021-10-09,Minor parking lot accident,3096.0,Major
A72008,C47879,2022-12-10,Accident on slippery road,147.0,Major
